Jeremy,Evans,2015-01-10,UTA,HOU,False,522.0,0,1,0,0,2,2,4,6,1,2,1,0,1,2
Dorell,Wright,2015-01-10,POR,ORL,True,775.0,1,1,1,1,4,0,1,1,1,0,0,0,1,7
Chandler,Parsons,2015-01-10,DAL,LAC,False,1861.0,4,10,1,4,3,1,2,3,1,0,0,1,1,12
Rudy,Gobert,2015-01-10,UTA,HOU,False,2087.0,2,2,0,0,0,0,5,5,3,1,3,3,1,4
Jason,Smith,2015-01-10,NYK,CHO,True,1380.0,4,8,0,0,0,1,3,4,0,2,1,0,4,8
Nerlens,Noel,2015-01-10,PHI,IND,True,1859.0,2,5,0,0,2,2,7,9,0,0,5,1,4,6
Elfrid,Payton,2015-01-10,ORL,POR,False,1924.0,4,10,0,0,1,3,2,5,4,0,0,1,3,9
Boris,Diaw,2015-01-10,SAS,MIN,False,1926.0,5,14,1,2,0,2,3,5,3,1,0,1,3,11
Jerami,Grant,2015-01-10,PHI,IND,True,1059.0,2,4,2,2,0,2,5,7,0,1,3,2,4,6
Mo,Williams,2015-01-10,MIN,SAS,True,1912.0,2,10,1,4,5,0,4,4,6,1,0,3,2,10
Donald,Sloan,2015-01-10,IND,PHI,False,1056.0,3,7,0,4,3,0,2,2,1,1,0,1,1,9
Luke,Ridnour,2015-01-10,ORL,POR,False,960.0,2,4,1,1,0,1,0,1,4,0,0,0,1,5
Bojan,Bogdanovic,2015-01-10,BRK,DET,False,1592.0,5,11,0,3,4,0,1,1,2,0,0,2,5,14
Caron,Butler,2015-01-10,DET,BRK,True,1211.0,3,7,0,4,2,0,2,2,0,1,0,0,0,8
Robbie,Hummel,2015-01-10,MIN,SAS,True,1516.0,4,8,0,1,1,1,2,3,0,1,0,1,1,9
Tyson,Chandler,2015-01-10,DAL,LAC,False,1893.0,2,4,0,0,1,2,8,10,0,0,2,1,3,5
Thomas,Robinson,2015-01-10,POR,ORL,True,404.0,3,4,0,0,0,0,2,2,1,0,1,0,2,6
Tyler,Hansbrough,2015-01-10,TOR,BOS,True,1060.0,0,3,0,0,4,4,2,6,0,1,1,0,4,4
John,Henson,2015-01-10,MIL,CHI,False,1071.0,2,6,0,0,2,4,3,7,1,0,4,2,5,6
Tiago,Splitter,2015-01-10,SAS,MIN,False,1004.0,2,7,0,0,3,2,2,4,1,1,1,1,2,7
Langston,Galloway,2015-01-10,NYK,CHO,True,1220.0,3,9,0,2,2,0,1,1,2,2,0,0,4,8
Kevin,Garnett,2015-01-10,BRK,DET,False,1001.0,1,3,0,1,0,3,4,7,4,0,0,1,1,2
Joe,Ingles,2015-01-10,UTA,HOU,False,1079.0,1,3,0,0,0,0,3,3,4,2,0,1,0,2
Maurice,Harkless,2015-01-10,ORL,POR,False,1169.0,2,5,0,1,2,1,1,2,0,1,0,0,1,6
